location,name,freq,weighting,n_factors,date,ret
chn,accruals,daily,vw_cap,5,1997-05-15,-0.011380700331578366
chn,accruals,daily,vw_cap,5,1997-05-16,0.009774753377724835
chn,accruals,daily,vw_cap,5,1997-05-19,0.000604988866079308
chn,accruals,daily,vw_cap,5,1997-05-20,-0.023300735878044387
chn,accruals,daily,vw_cap,5,1997-05-21,0.0003552332882695755
chn,accruals,daily,vw_cap,5,1997-05-22,-0.01666471720746677
chn,accruals,daily,vw_cap,5,1997-05-23,-0.043943267181186095
chn,accruals,daily,vw_cap,5,1997-05-26,-0.029852951371641047
chn,accruals,daily,vw_cap,5,1997-05-27,0.014127866213031337
chn,accruals,daily,vw_cap,5,1997-05-28,-0.0011367562269156428
chn,accruals,daily,vw_cap,5,1997-05-29,0.011756071716159933
chn,accruals,daily,vw_cap,5,1997-05-30,0.003302185245051439
chn,accruals,daily,vw_cap,5,1997-06-02,0.0018400842618341794
chn,accruals,daily,vw_cap,5,1997-06-03,-0.009000111298157577
chn,accruals,daily,vw_cap,5,1997-06-04,0.010627541287127168
chn,accruals,daily,vw_cap,5,1997-06-05,-0.012557485466631694
chn,accruals,daily,vw_cap,5,1997-06-06,-0.008564224249395515
chn,accruals,daily,vw_cap,5,1997-06-09,0.0019547649124291937
chn,accruals,daily,vw_cap,5,1997-06-10,0.009498220419829607
chn,accruals,daily,vw_cap,5,1997-06-11,0.007312466820984217
chn,accruals,daily,vw_cap,5,1997-06-12,-0.0062863446120676415
chn,accruals,daily,vw_cap,5,1997-06-13,-0.0019075283498266294
chn,accruals,daily,vw_cap,5,1997-06-16,0.006816762777057306
chn,accruals,daily,vw_cap,5,1997-06-17,-0.005490399167796133
chn,accruals,daily,vw_cap,5,1997-06-18,-0.005552064272067272
chn,accruals,daily,vw_cap,5,1997-06-19,-0.009008373683450114
chn,accruals,daily,vw_cap,5,1997-06-20,-0.0037297358833068618
chn,accruals,daily,vw_cap,5,1997-06-23,-0.010675930315905769
chn,accruals,daily,vw_cap,5,1997-06-24,0.0026388497575825483
chn,accruals,daily,vw_cap,5,1997-06-25,0.007346322925492704
chn,accruals,daily,vw_cap,5,1997-06-26,-0.007197516759935932
chn,accruals,daily,vw_cap,5,1997-06-27,-0.0069899134422030385
chn,accruals,daily,vw_cap,5,1997-07-02,-0.006577129630910552
chn,accruals,daily,vw_cap,5,1997-07-03,-0.010714608392256585
chn,accruals,daily,vw_cap,5,1997-07-04,0.0031736741837926396
chn,accruals,daily,vw_cap,5,1997-07-07,-0.012299264441847422
chn,accruals,daily,vw_cap,5,1997-07-08,0.006251221907162025
chn,accruals,daily,vw_cap,5,1997-07-09,-0.003064426633843061
chn,accruals,daily,vw_cap,5,1997-07-10,-0.0036098239000843706
chn,accruals,daily,vw_cap,5,1997-07-11,0.002990936658067285
chn,accruals,daily,vw_cap,5,1997-07-14,0.003234057355527989
chn,accruals,daily,vw_cap,5,1997-07-15,0.0019784984523273977
chn,accruals,daily,vw_cap,5,1997-07-16,-0.011288307249925595
chn,accruals,daily,vw_cap,5,1997-07-17,-0.008109638846292348
chn,accruals,daily,vw_cap,5,1997-07-18,0.003205469503536331
chn,accruals,daily,vw_cap,5,1997-07-21,-0.005246271143802527
chn,accruals,daily,vw_cap,5,1997-07-22,-0.005927951594007404
chn,accruals,daily,vw_cap,5,1997-07-23,0.009977753849141329
chn,accruals,daily,vw_cap,5,1997-07-24,0.00284645299335985
chn,accruals,daily,vw_cap,5,1997-07-25,-0.0012299010180059529
chn,accruals,daily,vw_cap,5,1997-07-28,0.019626978031436614
chn,accruals,daily,vw_cap,5,1997-07-29,0.0024649669855579016
chn,accruals,daily,vw_cap,5,1997-07-30,-0.003589248342600804
chn,accruals,daily,vw_cap,5,1997-07-31,-0.0039022706896129195
chn,accruals,daily,vw_cap,5,1997-08-01,0.005950315438916396
chn,accruals,daily,vw_cap,5,1997-08-04,0.011817955153365013
chn,accruals,daily,vw_cap,5,1997-08-05,-0.0010550201961570024
chn,accruals,daily,vw_cap,5,1997-08-06,0.00035858352695940476
chn,accruals,daily,vw_cap,5,1997-08-07,0.0047544493253090896
chn,accruals,daily,vw_cap,5,1997-08-08,0.0035870794908617774
chn,accruals,daily,vw_cap,5,1997-08-11,-7.841700580647065e-6
chn,accruals,daily,vw_cap,5,1997-08-12,0.009408347521926848
chn,accruals,daily,vw_cap,5,1997-08-13,-0.01440164950285817
chn,accruals,daily,vw_cap,5,1997-08-14,0.010324761045409667
chn,accruals,daily,vw_cap,5,1997-08-15,-0.007713131288130286
chn,accruals,daily,vw_cap,5,1997-08-18,-0.0037541186591468533
chn,accruals,daily,vw_cap,5,1997-08-19,0.000014047795079833586
chn,accruals,daily,vw_cap,5,1997-08-20,-0.001876129135346407
chn,accruals,daily,vw_cap,5,1997-08-21,0.005344542671470444
chn,accruals,daily,vw_cap,5,1997-08-22,-0.0033006116863793615
chn,accruals,daily,vw_cap,5,1997-08-25,0.012638438918460646
chn,accruals,daily,vw_cap,5,1997-08-26,0.0028981631162053106
chn,accruals,daily,vw_cap,5,1997-08-27,0.010900162138441888
chn,accruals,daily,vw_cap,5,1997-08-28,0.013413135148604474
chn,accruals,daily,vw_cap,5,1997-08-29,-0.0002962813094049485
chn,accruals,daily,vw_cap,5,1997-09-01,0.0018372489099258075
chn,accruals,daily,vw_cap,5,1997-09-02,-0.00005660180719634436
chn,accruals,daily,vw_cap,5,1997-09-03,-0.00014466306612864708
chn,accruals,daily,vw_cap,5,1997-09-04,-0.0005037881664855691
chn,accruals,daily,vw_cap,5,1997-09-05,0.008013093251911008
chn,accruals,daily,vw_cap,5,1997-09-08,0.013166311293578096
chn,accruals,daily,vw_cap,5,1997-09-09,-0.014673612802478036
chn,accruals,daily,vw_cap,5,1997-09-10,0.012010424210582566
chn,accruals,daily,vw_cap,5,1997-09-11,-0.01585775027557445
chn,accruals,daily,vw_cap,5,1997-09-12,0.00025248320503285513
chn,accruals,daily,vw_cap,5,1997-09-15,0.002651408973225979
chn,accruals,daily,vw_cap,5,1997-09-16,-0.0007066811101202085
chn,accruals,daily,vw_cap,5,1997-09-17,-0.00010685899752691068
chn,accruals,daily,vw_cap,5,1997-09-18,0.004185123986599636
chn,accruals,daily,vw_cap,5,1997-09-19,0.0055012882314926705
chn,accruals,daily,vw_cap,5,1997-09-22,-0.005066739366828414
chn,accruals,daily,vw_cap,5,1997-09-23,0.009718823796915252
chn,accruals,daily,vw_cap,5,1997-09-24,0.006769193996586724
chn,accruals,daily,vw_cap,5,1997-09-25,-0.006937678343276599
chn,accruals,daily,vw_cap,5,1997-09-26,-7.897373167274624e-7
chn,accruals,daily,vw_cap,5,1997-09-29,-0.0003499961680587745
chn,accruals,daily,vw_cap,5,1997-09-30,-0.0017626147517665878
chn,accruals,daily,vw_cap,5,1997-10-06,-0.004451340436024531
chn,accruals,daily,vw_cap,5,1997-10-07,0.0026623972882261543
chn,accruals,daily,vw_cap,5,1997-10-08,0.002396906891388205
chn,accruals,daily,vw_cap,5,1997-10-09,0.005048073671903692
chn,accruals,daily,vw_cap,5,1997-10-10,0.004367643950699152
chn,accruals,daily,vw_cap,5,1997-10-13,0.0022360886334299437
chn,accruals,daily,vw_cap,5,1997-10-14,0.004487228285905483
chn,accruals,daily,vw_cap,5,1997-10-15,-0.0016161265904556285
chn,accruals,daily,vw_cap,5,1997-10-16,-0.009480996823171491
chn,accruals,daily,vw_cap,5,1997-10-17,-0.010610958954283689
chn,accruals,daily,vw_cap,5,1997-10-20,0.009559780744251295
chn,accruals,daily,vw_cap,5,1997-10-21,-0.011262523943971255
chn,accruals,daily,vw_cap,5,1997-10-22,-0.008298691034088328
chn,accruals,daily,vw_cap,5,1997-10-23,0.00003525813584727283
chn,accruals,daily,vw_cap,5,1997-10-24,0.006499009865148927
chn,accruals,daily,vw_cap,5,1997-10-27,-0.0012252365450227064
chn,accruals,daily,vw_cap,5,1997-10-28,0.0087830221902279
chn,accruals,daily,vw_cap,5,1997-10-29,0.005841480416418084
chn,accruals,daily,vw_cap,5,1997-10-30,-0.007892155985263369
chn,accruals,daily,vw_cap,5,1997-10-31,0.015440503086845256
chn,accruals,daily,vw_cap,5,1997-11-03,0.008890725649617999
chn,accruals,daily,vw_cap,5,1997-11-04,-0.01174065938759176
chn,accruals,daily,vw_cap,5,1997-11-05,-0.006353926016213499
chn,accruals,daily,vw_cap,5,1997-11-06,-0.0024480119145116348
chn,accruals,daily,vw_cap,5,1997-11-07,0.0002319429671632841
chn,accruals,daily,vw_cap,5,1997-11-10,-0.0016717826151876765
chn,accruals,daily,vw_cap,5,1997-11-11,0.010993545386501631
chn,accruals,daily,vw_cap,5,1997-11-12,-0.0032435290783855283
chn,accruals,daily,vw_cap,5,1997-11-13,0.00532963692394306
chn,accruals,daily,vw_cap,5,1997-11-14,0.005053548040331727
chn,accruals,daily,vw_cap,5,1997-11-17,0.0020449218536135174
chn,accruals,daily,vw_cap,5,1997-11-18,-0.00003236203898939211
chn,accruals,daily,vw_cap,5,1997-11-19,-0.0064172489363243865
chn,accruals,daily,vw_cap,5,1997-11-20,0.002591443669443259
chn,accruals,daily,vw_cap,5,1997-11-21,-0.0015315637763188706
chn,accruals,daily,vw_cap,5,1997-11-24,-0.0040668376551348685
chn,accruals,daily,vw_cap,5,1997-11-25,0.02156254614756914
chn,accruals,daily,vw_cap,5,1997-11-26,-0.004176646369038671
chn,accruals,daily,vw_cap,5,1997-11-27,0.0027437007964855064
chn,accruals,daily,vw_cap,5,1997-11-28,0.014593461141745404
chn,accruals,daily,vw_cap,5,1997-12-01,0.0017279394301394483
chn,accruals,daily,vw_cap,5,1997-12-02,-0.012083479837431526
chn,accruals,daily,vw_cap,5,1997-12-03,-0.003914079137825366
chn,accruals,daily,vw_cap,5,1997-12-04,-0.0034980253645734483
chn,accruals,daily,vw_cap,5,1997-12-05,0.0001297803103264109
chn,accruals,daily,vw_cap,5,1997-12-08,-0.006478655258554053
chn,accruals,daily,vw_cap,5,1997-12-09,0.0023017916864888407
chn,accruals,daily,vw_cap,5,1997-12-10,-0.005321753062695072
chn,accruals,daily,vw_cap,5,1997-12-11,0.00850211007337005
chn,accruals,daily,vw_cap,5,1997-12-12,-0.0009277444206480568
chn,accruals,daily,vw_cap,5,1997-12-15,0.009749460602744647
chn,accruals,daily,vw_cap,5,1997-12-16,-0.0029784238953870497
chn,accruals,daily,vw_cap,5,1997-12-17,-0.002144957110738117
chn,accruals,daily,vw_cap,5,1997-12-18,0.0007020721568711421
chn,accruals,daily,vw_cap,5,1997-12-19,-0.003284622268671755
chn,accruals,daily,vw_cap,5,1997-12-22,-0.004610539114627594
chn,accruals,daily,vw_cap,5,1997-12-23,0.007315231340104507
chn,accruals,daily,vw_cap,5,1997-12-24,0.005884651568669341
chn,accruals,daily,vw_cap,5,1997-12-25,-0.00375965973728602
chn,accruals,daily,vw_cap,5,1997-12-26,0.003665339533917326
chn,accruals,daily,vw_cap,5,1997-12-29,0.007367687651159835
chn,accruals,daily,vw_cap,5,1997-12-30,-0.0009229973797681524
chn,accruals,daily,vw_cap,5,1997-12-31,-0.007554713469756625
chn,accruals,daily,vw_cap,5,1998-01-05,0.007835879207794844
chn,accruals,daily,vw_cap,5,1998-01-06,0.008447859283491697
chn,accruals,daily,vw_cap,5,1998-01-07,0.01282309549045751
chn,accruals,daily,vw_cap,5,1998-01-08,0.013880425752621073
chn,accruals,daily,vw_cap,5,1998-01-09,-0.005294899601034127
chn,accruals,daily,vw_cap,5,1998-01-12,0.0010204740492778433
chn,accruals,daily,vw_cap,5,1998-01-13,-0.011006173422383128
chn,accruals,daily,vw_cap,5,1998-01-14,0.0054932301661272664
chn,accruals,daily,vw_cap,5,1998-01-15,0.019803419733434493
chn,accruals,daily,vw_cap,5,1998-01-16,-0.002782809534716419
chn,accruals,daily,vw_cap,5,1998-01-19,-0.010043729160071898
chn,accruals,daily,vw_cap,5,1998-01-20,0.00018474690497817387
chn,accruals,daily,vw_cap,5,1998-01-21,-0.0005637023183690763
chn,accruals,daily,vw_cap,5,1998-01-22,0.0008908958771080153
chn,accruals,daily,vw_cap,5,1998-01-23,-0.0008667396096859702
chn,accruals,daily,vw_cap,5,1998-02-09,-0.01261452636647791
chn,accruals,daily,vw_cap,5,1998-02-10,-0.006771735903847333
chn,accruals,daily,vw_cap,5,1998-02-11,0.002733121955595039
chn,accruals,daily,vw_cap,5,1998-02-12,0.0007961779360387283
chn,accruals,daily,vw_cap,5,1998-02-13,0.00005875711910594411
chn,accruals,daily,vw_cap,5,1998-02-16,0.0019566431804923803
chn,accruals,daily,vw_cap,5,1998-02-17,-0.007122294231256201
chn,accruals,daily,vw_cap,5,1998-02-18,0.0032137566840491454
chn,accruals,daily,vw_cap,5,1998-02-19,-0.0027947190628941714
chn,accruals,daily,vw_cap,5,1998-02-20,-0.001050597181457572
chn,accruals,daily,vw_cap,5,1998-02-23,0.000023494944824772533
chn,accruals,daily,vw_cap,5,1998-02-24,0.006649243067923169
chn,accruals,daily,vw_cap,5,1998-02-25,-0.0018355887695859676
chn,accruals,daily,vw_cap,5,1998-02-26,-0.0015165629586774653
chn,accruals,daily,vw_cap,5,1998-02-27,-0.014082916342022068
chn,accruals,daily,vw_cap,5,1998-03-02,-0.0013805019676840723
chn,accruals,daily,vw_cap,5,1998-03-03,0.008660516151928966
chn,accruals,daily,vw_cap,5,1998-03-04,0.010018899622393192
chn,accruals,daily,vw_cap,5,1998-03-05,0.004669581432955423
chn,accruals,daily,vw_cap,5,1998-03-06,0.007763539800723353
chn,accruals,daily,vw_cap,5,1998-03-09,0.0010482446669536493
chn,accruals,daily,vw_cap,5,1998-03-10,-0.004034237382219937
chn,accruals,daily,vw_cap,5,1998-03-11,-0.0038043963847302097
chn,accruals,daily,vw_cap,5,1998-03-12,0.0075049022652246555
chn,accruals,daily,vw_cap,5,1998-03-13,0.0022594072413693054
chn,accruals,daily,vw_cap,5,1998-03-16,0.01584712436978655
chn,accruals,daily,vw_cap,5,1998-03-17,-0.002642775624026323
chn,accruals,daily,vw_cap,5,1998-03-18,-0.009723671514327539
chn,accruals,daily,vw_cap,5,1998-03-19,-0.00029504237555651094
chn,accruals,daily,vw_cap,5,1998-03-20,0.006581901339987148
chn,accruals,daily,vw_cap,5,1998-03-23,0.007372055383348998
chn,accruals,daily,vw_cap,5,1998-03-24,0.0020924868360055757
chn,accruals,daily,vw_cap,5,1998-03-25,0.005168755721486349
chn,accruals,daily,vw_cap,5,1998-03-26,0.009958872105034627
chn,accruals,daily,vw_cap,5,1998-03-27,0.004918936950262696
chn,accruals,daily,vw_cap,5,1998-03-30,-0.00007263442076301183
chn,accruals,daily,vw_cap,5,1998-03-31,-0.00197165823231261
chn,accruals,daily,vw_cap,5,1998-04-01,0.012228386831758739
chn,accruals,daily,vw_cap,5,1998-04-02,-0.01445510333467508
chn,accruals,daily,vw_cap,5,1998-04-03,0.010080352130744635
chn,accruals,daily,vw_cap,5,1998-04-06,-0.008187069575101371
chn,accruals,daily,vw_cap,5,1998-04-07,0.008658275876430196
chn,accruals,daily,vw_cap,5,1998-04-08,0.014855713646987517
chn,accruals,daily,vw_cap,5,1998-04-09,-0.005770288139611499
chn,accruals,daily,vw_cap,5,1998-04-10,-0.005766687220881542
chn,accruals,daily,vw_cap,5,1998-04-13,0.0041579641736639115
chn,accruals,daily,vw_cap,5,1998-04-14,0.002753747703514494
chn,accruals,daily,vw_cap,5,1998-04-15,0.003776543954975757
chn,accruals,daily,vw_cap,5,1998-04-16,0.006653750874248382
chn,accruals,daily,vw_cap,5,1998-04-17,-0.003193417841823848
chn,accruals,daily,vw_cap,5,1998-04-20,0.0010179637565623403
chn,accruals,daily,vw_cap,5,1998-04-21,-0.002898609409656179
